C.Wt%,0.249,,eq.strain,eq.stress.MPa,,eq.stress.MPa,theta,,eq.stress.MPa,d.theta/d.stress,d.theta/d.stress(normalised),,eq.stress.MPa,relative.austenite.fraction
Mn.Wt%,1.54,,1.00009E-12,5.26733459,,5.28E+00,0,,5.288000529,0,0,,26,1
Si.Wt%,0.328,,1.00009E-12,5.254935026,,5.28E+00,0,,5.292133717,0,0,,501,1
Al.Wt%,0.715,,1.00009E-12,5.279734153,,5.29E+00,0,,5.296266905,0,0,,531,0.957317073
Nb.Wt%,-,,1.00009E-12,5.30453328,,5.29E+00,0,,5.353985657,601879.8611,2006.266204,,622,0.890243902
N.ppm,41,,1.00009E-12,5.279734153,,5.292133717,0,,5.394393647,4596.53553,15.3217851,,732,0.774390244
P.Wt%,0.018,,1.00009E-12,5.279734153,,5.296266905,0,,5.445888305,10313.1846,34.377282,,864,0.530487805
S.Wt%,-,,1.00009E-12,5.292133717,,5.30453328,0,,5.51430851,14046.29169,46.82097231,,915,0.237804878
,,,1.00009E-12,5.26733459,,5.311421927,0,,6.115415945,5644.950826,18.81650275,,939,0.158536585
,,,1.00009E-12,5.30453328,,5.330985683,0,,6.350132719,10553.05964,35.17686546,,,
,,,1.00009E-12,5.292133717,,5.364326731,0,,6.618880105,6298.637075,20.99545692,,,
,,,1.00009E-12,5.279734153,,5.413098348,0,,6.926216813,1946.201615,6.487338717,,,
,,,1.00009E-12,5.292133717,,5.48942455,0,,7.307557816,778.7416019,2.59580534,,,
,,,1.00009E-12,5.341731971,,5.588069967,0,,7.727488214,1174.747276,3.915824254,,,
,,,1.00009E-12,5.316932844,,5.618862216,82401.96275,,8.19097475,1938.366243,6.461220811,,,
,,,1.00009E-12,5.354131535,,5.661994983,101896.1855,,8.692951928,2101.398549,7.00466183,,,
,,,1.00009E-12,5.354131535,,5.713305558,102612.3497,,9.238982546,1781.920956,5.939736522,,,
,,,1.00009E-12,5.443408392,,5.785140363,58666.89869,,9.8330276,921.2430576,3.070810192,,,
,,,1.00009E-12,5.604602718,,6.960709327,108355.8193,,10.47369831,27.56417904,0.091880597,,,
,,,1.00009E-12,5.731078266,,6.951288321,105032.7551,,11.20793697,299.4677838,0.998225946,,,
,,,1.00009E-12,5.966669973,,7.99970007,110459.905,,11.99476442,425.3951917,1.417983972,,,
,,,1.00009E-12,6.179942466,,7.952756903,110440.3524,,12.83109603,134.6522322,0.448840774,,,
,,,9.99995E-06,6.442877641,,10.59652298,160868.2065,,13.72101014,4275.342856,14.25114285,,,
,,,9.99995E-06,6.919025642,,10.65697712,212639.5307,,14.66340537,11723.9585,39.07986166,,,
,,,1.99998E-05,7.531645521,,10.37223645,271317.1083,,15.65392906,9744.029675,32.48009892,,,
,,,1.99998E-05,8.858425355,,13.51637768,333659.0076,,16.75460128,6155.791925,20.51930642,,,
,,,3.99992E-05,9.610046126,,13.89750567,349117.1161,,17.90638208,5.7269716,0.019089905,,,
,,,3.99992E-05,10.35900972,,14.09574286,316844.3959,,19.10818119,266.8738811,0.889579604,,,
,,,3.99992E-05,11.14765351,,14.07759154,304340.7698,,20.35859347,550.9479827,1.836493276,,,
,,,4.99988E-05,12.02321793,,17.35423036,311520.751,,21.64503833,890.668617,2.96889539,,,
,,,4.99988E-05,12.96315185,,17.50428351,278405.0206,,22.9619426,7.443560532,0.024811868,,,
,,,4.99988E-05,14.81325923,,19.97903119,212472.9708,,24.28642862,1186.640514,3.95546838,,,
,,,4.99988E-05,15.79039369,,19.91384295,208726.5363,,25.70351601,1566.348897,5.221162991,,,
,,,5.99982E-05,16.85449797,,19.8880177,223947.2704,,27.14918308,1862.882472,6.20960824,,,
,,,5.99982E-05,17.85396275,,23.76013554,205369.7293,,28.62245713,1627.975417,5.426584722,,,
,,,6.99976E-05,18.94289917,,25.78231975,218713.2585,,30.11875132,1136.452803,3.788176011,,,
,,,6.99976E-05,20.1308605,,26.04713679,185668.039,,31.63701988,470.2909587,1.567636529,,,
,,,6.99976E-05,21.3089015,,27.90252732,177585.3676,,33.20195762,135.0291396,0.450097132,,,
